Unit_Code,Foray_Name,Protocol_Name,Start_Date,Genus,Species,Host,Collection_Number,Voucher_Specimen,Outside_Plot,Comments,NPS_Accession_Num,NPS_Catalog_Num,Collector
CATO,Owens Creek,Plot,8/7/05,Strobilomyces,floccopus,Soil,151,TRUE,TRUE,,152,2291,Lauraine Hawkins
CATO,Owens Creek,Plot,8/7/05,Inocybe,sp.,Soil,149,FALSE,TRUE,,,,
CATO,Owens Creek,Plot,8/7/05,Strobilomyces,floccopus,Litter,131,TRUE,FALSE,,152,2345,Elizabeth Brantley
CATO,Owens Creek,Plot,8/7/05,Polyporus,badius,Dead Hardwood,129,TRUE,FALSE,,152,2284,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,Crepidotus,crocophyllus,Dead Hardwood,478,TRUE,FALSE,,152,2371,Elizabeth Brantley
CATO,Owens Creek,Plot,9/2/05,Marasmius,sp.,Litter,297,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Marasmius,delectans,Litter,276,TRUE,FALSE,,152,2341,Lauraine Hawkins
CATO,Owens Creek,Plot,9/2/05,Russula,mariae,Litter,318,TRUE,TRUE,,152,2354,Lauraine Hawkins
CATO,Owens Creek,Plot,9/2/05,Lycoperdon,perlatum,Litter,270,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Hygrophorus,sp.,Litter,269,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,cup - no id,,Dead Hardwood,290,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,No ID,,Dead Hardwood,299,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Pluteus,longistriatus,Litter,310,TRUE,FALSE,,152,2363,Lauraine Hawkins
CATO,Owens Creek,Plot,9/2/05,Daedaleopsis,confragosa,Dead Hardwood,273,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Cordyceps,militaris,Litter,279,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,No ID,,Dead Hardwood,292,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,No ID,,Rotting Hardwood,286,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,No ID,,Litter,280,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Russula,sp.,Litter,294,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Russula,sp.,Litter,317,FALSE,TRUE,,,,
CATO,Owens Creek,Plot,9/2/05,Russula,laurocerasi,Litter,296,TRUE,FALSE,,152,2358,Lauraine Hawkins
CATO,Owens Creek,Plot,9/2/05,No ID,,Litter,309,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Mycena,leaiana,Dead Hardwood,307,TRUE,FALSE,,152,2352,Elizabeth Brantley
CATO,Owens Creek,Plot,9/2/05,Gymnopus,dryophilus,Litter,284,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,9/2/05,Marasmius,sp.,Dead Hardwood,275,FALSE,FALSE,,,,
